# 내장 마스터 커브 데이터
# 원본: S140_R.txt
# freq (Hz)	E' (Pa)	E'' (Pa)
6.607000000000000206e+00	6.671000000000000000e+06	1.099000000000000000e+06
1.000000000000000000e+01	6.997000000000000000e+06	1.121000000000000000e+06
1.407000000000000028e+01	7.223000000000000000e+06	1.238000000000000000e+06
1.424000000000000021e+01	7.112000000000000000e+06	9.258000000000000000e+05
2.153999999999999915e+01	7.456000000000000000e+06	1.248000000000000000e+06
3.030999999999999872e+01	7.738000000000000000e+06	1.366000000000000000e+06
4.642000000000000171e+01	8.087000000000000000e+06	1.264000000000000000e+06
6.203000000000000114e+01	8.130000000000000931e+06	1.501000000000000000e+06
6.529999999999999716e+01	8.205000000000000000e+06	1.434000000000000000e+06
1.000000000000000000e+02	8.574000000000000000e+06	1.141000000000000000e+06
1.335999999999999943e+02	8.782000000000000000e+06	1.630000000000000000e+06
1.406999999999999886e+02	8.964000000000000000e+06	1.821000000000000000e+06
2.878999999999999773e+02	9.572000000000000000e+06	1.889000000000000000e+06
3.031000000000000227e+02	9.562000000000000000e+06	2.035000000000000233e+06
6.202999999999999545e+02	1.026000000000000000e+07	2.140000000000000000e+06
6.530000000000000000e+02	1.030000000000000000e+07	1.577000000000000000e+06
7.057999999999999545e+02	1.037000000000000000e+07	2.140000000000000000e+06
1.336000000000000000e+03	1.119000000000000000e+07	2.300000000000000000e+06
1.521000000000000000e+03	1.129000000000000000e+07	2.477000000000000000e+06
2.879000000000000000e+03	1.226000000000000000e+07	2.957000000000000000e+06
3.276000000000000000e+03	1.245000000000000000e+07	2.881000000000000000e+06
6.203000000000000000e+03	1.323000000000000000e+07	3.411000000000000000e+06
7.058000000000000000e+03	1.361000000000000000e+07	3.397000000000000000e+06
9.921000000000000000e+03	1.414000000000000000e+07	3.423000000000000000e+06
1.521000000000000000e+04	1.479000000000000000e+07	3.959000000000000000e+06
2.137000000000000000e+04	1.578000000000000000e+07	4.000000000000000000e+06
3.276000000000000000e+04	1.644000000000000186e+07	4.961000000000000000e+06
4.605000000000000000e+04	1.743000000000000000e+07	4.833000000000000000e+06
7.058000000000000000e+04	1.854000000000000000e+07	6.313000000000000000e+06
9.921000000000000000e+04	1.942000000000000000e+07	5.957000000000000000e+06
1.555000000000000000e+05	2.137000000000000000e+07	6.452000000000000000e+06
2.137000000000000000e+05	2.182000000000000000e+07	7.749000000000000000e+06
3.350000000000000000e+05	2.427000000000000000e+07	7.984000000000000000e+06
4.605000000000000000e+05	2.512000000000000000e+07	1.064000000000000000e+07
7.216000000000000000e+05	2.763000000000000000e+07	1.047000000000000000e+07
9.921000000000000000e+05	3.005000000000000000e+07	1.514000000000000000e+07
1.555000000000000000e+06	3.227000000000000373e+07	1.416000000000000000e+07
2.734000000000000000e+06	3.775000000000000000e+07	1.616000000000000000e+07
3.350000000000000000e+06	3.827000000000000000e+07	1.956000000000000000e+07
5.890000000000000000e+06	4.518000000000000000e+07	2.207000000000000000e+07
7.216000000000000000e+06	4.696000000000000000e+07	2.800000000000000000e+07
1.269000000000000000e+07	5.527000000000000000e+07	3.098000000000000000e+07
1.555000000000000000e+07	6.004000000000000000e+07	4.078000000000000000e+07
2.734000000000000000e+07	6.939000000000000000e+07	4.406000000000000000e+07
5.890000000000000000e+07	9.008000000000000000e+07	6.337000000000000000e+07
7.242000000000000000e+07	1.112000000000000000e+08	6.932000000000000000e+07
1.269000000000000000e+08	1.199000000000000000e+08	9.143000000000000000e+07
1.560000000000000000e+08	1.335000000000000000e+08	9.323000000000000000e+07
2.734000000000000000e+08	1.649000000000000000e+08	1.367000000000000000e+08
3.361000000000000000e+08	1.614000000000000000e+08	1.230000000000000000e+08
7.242000000000000000e+08	2.082000000000000000e+08	1.655000000000000000e+08
1.560000000000000000e+09	2.765000000000000000e+08	2.226000000000000000e+08
3.361000000000000000e+09	3.768000000000000000e+08	2.968000000000000000e+08
7.242000000000000000e+09	5.167000000000000596e+08	4.125000000000000000e+08
