# 내장 마스터 커브 데이터
# 원본: S120-R.txt
# freq (Hz)	E' (Pa)	E'' (Pa)
2.234000000000000000e+05	1.614000000000000000e+07	5.527000000000000000e+06
2.793000000000000000e+05	1.701000000000000000e+07	5.235000000000000000e+06
4.813000000000000000e+05	1.853000000000000000e+07	7.558000000000000000e+06
6.016000000000000000e+05	1.909000000000000000e+07	6.917000000000000000e+06
1.037000000000000000e+06	2.170000000000000000e+07	1.085000000000000000e+07
1.296000000000000000e+06	2.200000000000000000e+07	9.643000000000000000e+06
1.720000000000000000e+06	2.454000000000000000e+07	1.013000000000000000e+07
2.793000000000000000e+06	2.620000000000000000e+07	1.378000000000000000e+07
3.706000000000000000e+06	2.818000000000000000e+07	1.400000000000000000e+07
6.016000000000000000e+06	3.197000000000000000e+07	2.018000000000000000e+07
7.985000000000000000e+06	3.425000000000000000e+07	2.024000000000000000e+07
1.296000000000000000e+07	4.083000000000000000e+07	3.035000000000000000e+07
1.720000000000000000e+07	4.316000000000000000e+07	2.969000000000000000e+07
3.706000000000000000e+07	5.653000000000000000e+07	4.384000000000000000e+07
3.789000000000000000e+07	5.849000000000000000e+07	4.288000000000000000e+07
7.985000000000000000e+07	7.625000000000000000e+07	6.569000000000000000e+07
8.163000000000000000e+07	7.670000000000000000e+07	6.302000000000000000e+07
1.720000000000000000e+08	1.069000000000000000e+08	1.002000000000000000e+08
1.759000000000000000e+08	1.058000000000000000e+08	9.360000000000000000e+07
3.789000000000000000e+08	1.512000000000000000e+08	1.390000000000000000e+08
8.163000000000000000e+08	2.202000000000000000e+08	2.029000000000000000e+08
1.759000000000000000e+09	3.243000000000000000e+08	2.899000000000000000e+08
3.789000000000000000e+09	4.764000000000000000e+08	4.105000000000000000e+08
