# 내장 마스터 커브 데이터
# 원본: S100_R.MPa.txt
# freq (Hz)	E' (Pa)	E'' (Pa)
1.794000000000000000e+08	6.655008173655349016e+07	5.722701809790192544e+07
2.021000000000000000e+08	8.160047831600339711e+07	7.196605408302609622e+07
3.865000000000000000e+08	9.902894362292391062e+07	9.134085021109451354e+07
8.328000000000000000e+08	1.260539754532327503e+08	1.150114846143538356e+08
1.374000000000000000e+09	1.601622444751872122e+08	1.489810969123619199e+08
1.794000000000000000e+09	2.056301633982566595e+08	1.901344328989719152e+08
2.960000000000000000e+09	2.773131174848766923e+08	2.452416932378185689e+08
3.865000000000000000e+09	3.596206291100639105e+08	3.083044551208779216e+08
6.377000000000000000e+09	4.611434303679266572e+08	3.913671372454555035e+08
1.374000000000000000e+10	6.065188097491925955e+08	4.657905267943033576e+08
2.960000000000000000e+10	7.803842265540778637e+08	5.554800283004002571e+08
4.884000000000000000e+10	1.005921093418417335e+09	6.036005982487940788e+08
6.377000000000000000e+10	1.268995922376286507e+09	6.804062600106831789e+08
1.052000000000000000e+11	1.568135097627156496e+09	7.339835144173294306e+08
1.374000000000000000e+11	1.909117870896074772e+09	7.562878418998298645e+08
2.267000000000000000e+11	2.273594546475859165e+09	7.008919549841151237e+08
4.884000000000000000e+11	2.638398448321624279e+09	6.628166623118051291e+08
7.834000000000000000e+11	3.017654176268666267e+09	6.204018615128316879e+08
1.052000000000000000e+12	3.404717937660992146e+09	5.783128965404736996e+08
1.688000000000000000e+12	3.792767837450822830e+09	5.401763307566232681e+08
2.267000000000000000e+12	4.175184721579359055e+09	5.087025208582796454e+08
3.636000000000000000e+12	4.545904506687560081e+09	4.859825471486909986e+08
4.884000000000000000e+12	4.899716650133976936e+09	4.738912369216970205e+08
7.834000000000000000e+12	5.232491484625226021e+09	4.745813665625475645e+08
1.688000000000000000e+13	5.541328120049909592e+09	4.911220857320581079e+08
3.636000000000000000e+13	5.824623257310993195e+09	5.284304100894649625e+08
7.834000000000000000e+13	6.082068594572318077e+09	5.948102904733552933e+08
